adm3_name,adm3_name1,adm3_name2,adm3_name3,adm3_pcode,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm3_ref_name,center_lat,center_lon
Parashuram,,,,BD20300051,Feni,,,,BD2030,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,101.5076612,v03,en,,,,,23.20244186,91.43849193
Sonagazi,,,,BD20300094,Feni,,,,BD2030,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,234.5710595,v03,en,,,,,22.85375019,91.396878
Dighinala,,,,BD20460043,Khagrachhari,,,,BD2046,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,881.8924108,v03,en,,,,,23.41579635,92.05900408
Guimara,,,,BD20460047,Khagrachhari,,,,BD2046,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,224.8512517,v03,en,,,,,22.95816063,91.92264133
Khagrachhari Sadar,,,,BD20460049,Khagrachhari,,,,BD2046,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,271.3173154,v03,en,,,,,23.15840266,91.9983411
Lakkhichhari,,,,BD20460061,Khagrachhari,,,,BD2046,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,210.7902923,v03,en,,,,,22.78361647,91.93107935
Mahalchhari,,,,BD20460065,Khagrachhari,,,,BD2046,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,234.1126788,v03,en,,,,,22.9835062,92.04945547
Manikchhari,,,,BD20460067,Khagrachhari,,,,BD2046,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,181.7181417,v03,en,,,,,22.85186911,91.8267801
Matiranga,,,,BD20460070,Khagrachhari,,,,BD2046,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,491.03131,v03,en,,,,,23.16268454,91.85491132
Panchhari,,,,BD20460077,Khagrachhari,,,,BD2046,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,333.3980804,v03,en,,,,,23.34218676,91.92458743
