district_code,upazila_code,name_en,name_bn,lat,lng,source,is_verified
3033,30330032,Kaliakair,,24.10221402,90.26555217,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3033,30330034,Kaliganj,,23.96481774,90.55522821,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3033,30330036,Kapasia,,24.14779535,90.60046014,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3033,30330086,Sreepur,,24.20580898,90.44362975,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3035,30350032,Gopalganj Sadar,,23.06056181,89.84767364,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3035,30350043,Kashiani,,23.19131338,89.79519002,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3035,30350051,Kotalipara,,23.01051938,90.02019937,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3035,30350058,Muksudpur,,23.26614945,89.91575687,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3035,30350091,Tungipara,,22.92359515,89.90223546,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3048,30480002,Austagram,,24.32358689,91.12249556,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3048,30480006,Bajitpur,,24.2266224,90.94846361,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3048,30480011,Bhairab,,24.10221109,90.98120406,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3048,30480027,Hossainpur,,24.44832765,90.66335442,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3048,30480033,Itna,,24.55093334,91.08404973,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3048,30480042,Karimganj,,24.45434037,90.89635343,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3048,30480045,Katiadi,,24.2952187,90.82084672,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3048,30480049,Kishoreganj Sadar,,24.42594991,90.78325593,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
